disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Cape Verde,2024,0,OWID
COVID_001,COVID-19,Cayman Islands,2020,0,OWID
COVID_001,COVID-19,Cayman Islands,2021,0,OWID
COVID_001,COVID-19,Cayman Islands,2022,0,OWID
COVID_001,COVID-19,Cayman Islands,2023,0,OWID
COVID_001,COVID-19,Cayman Islands,2024,0,OWID
COVID_001,COVID-19,Central African Republic,2020,0,OWID
COVID_001,COVID-19,Central African Republic,2021,0,OWID
COVID_001,COVID-19,Central African Republic,2022,0,OWID
COVID_001,COVID-19,Central African Republic,2023,0,OWID
COVID_001,COVID-19,Central African Republic,2024,0,OWID
COVID_001,COVID-19,Chad,2020,0,OWID
COVID_001,COVID-19,Chad,2021,0,OWID
COVID_001,COVID-19,Chad,2022,0,OWID
COVID_001,COVID-19,Chad,2023,1,OWID
COVID_001,COVID-19,Chad,2024,0,OWID
COVID_001,COVID-19,Chile,2020,0,OWID
COVID_001,COVID-19,Chile,2021,0,OWID
COVID_001,COVID-19,Chile,2022,0,OWID
COVID_001,COVID-19,Chile,2023,31368,OWID
COVID_001,COVID-19,Chile,2024,0,OWID
COVID_001,COVID-19,China,2020,1,OWID
COVID_001,COVID-19,China,2021,0,OWID
COVID_001,COVID-19,China,2022,0,OWID
COVID_001,COVID-19,China,2023,24644876,OWID
COVID_001,COVID-19,China,2024,0,OWID
COVID_001,COVID-19,Colombia,2020,0,OWID
COVID_001,COVID-19,Colombia,2021,0,OWID
COVID_001,COVID-19,Colombia,2022,0,OWID
COVID_001,COVID-19,Colombia,2023,6776,OWID
COVID_001,COVID-19,Colombia,2024,0,OWID
COVID_001,COVID-19,Comoros,2020,0,OWID
COVID_001,COVID-19,Comoros,2021,0,OWID
COVID_001,COVID-19,Comoros,2022,0,OWID
COVID_001,COVID-19,Comoros,2023,3,OWID
COVID_001,COVID-19,Comoros,2024,0,OWID
COVID_001,COVID-19,Congo,2020,0,OWID
COVID_001,COVID-19,Congo,2021,0,OWID
COVID_001,COVID-19,Congo,2022,0,OWID
COVID_001,COVID-19,Congo,2023,0,OWID
COVID_001,COVID-19,Congo,2024,0,OWID
COVID_001,COVID-19,Cook Islands,2020,0,OWID
COVID_001,COVID-19,Cook Islands,2021,0,OWID
COVID_001,COVID-19,Cook Islands,2022,0,OWID
COVID_001,COVID-19,Cook Islands,2023,85,OWID
COVID_001,COVID-19,Cook Islands,2024,0,OWID
COVID_001,COVID-19,Costa Rica,2020,0,OWID
COVID_001,COVID-19,Costa Rica,2021,0,OWID
COVID_001,COVID-19,Costa Rica,2022,0,OWID
COVID_001,COVID-19,Costa Rica,2023,5155,OWID
COVID_001,COVID-19,Costa Rica,2024,0,OWID
COVID_001,COVID-19,Cote d'Ivoire,2020,0,OWID
COVID_001,COVID-19,Cote d'Ivoire,2021,0,OWID
COVID_001,COVID-19,Cote d'Ivoire,2022,0,OWID
COVID_001,COVID-19,Cote d'Ivoire,2023,8,OWID
COVID_001,COVID-19,Cote d'Ivoire,2024,0,OWID
COVID_001,COVID-19,Croatia,2020,0,OWID
COVID_001,COVID-19,Croatia,2021,0,OWID
COVID_001,COVID-19,Croatia,2022,0,OWID
COVID_001,COVID-19,Croatia,2023,2135,OWID
COVID_001,COVID-19,Croatia,2024,0,OWID
COVID_001,COVID-19,Cuba,2020,0,OWID
COVID_001,COVID-19,Cuba,2021,0,OWID
COVID_001,COVID-19,Cuba,2022,0,OWID
COVID_001,COVID-19,Cuba,2023,166,OWID
COVID_001,COVID-19,Cuba,2024,0,OWID
COVID_001,COVID-19,Curacao,2020,0,OWID
COVID_001,COVID-19,Curacao,2021,0,OWID
COVID_001,COVID-19,Curacao,2022,0,OWID
COVID_001,COVID-19,Curacao,2023,13,OWID
COVID_001,COVID-19,Curacao,2024,0,OWID
COVID_001,COVID-19,Cyprus,2020,0,OWID
COVID_001,COVID-19,Cyprus,2021,0,OWID
COVID_001,COVID-19,Cyprus,2022,0,OWID
COVID_001,COVID-19,Cyprus,2023,2602,OWID
COVID_001,COVID-19,Cyprus,2024,0,OWID
COVID_001,COVID-19,Czechia,2020,0,OWID
COVID_001,COVID-19,Czechia,2021,0,OWID
COVID_001,COVID-19,Czechia,2022,0,OWID
COVID_001,COVID-19,Czechia,2023,2728,OWID
COVID_001,COVID-19,Czechia,2024,0,OWID
COVID_001,COVID-19,Democratic Republic of Congo,2020,0,OWID
COVID_001,COVID-19,Democratic Republic of Congo,2021,0,OWID
COVID_001,COVID-19,Democratic Republic of Congo,2022,0,OWID
COVID_001,COVID-19,Democratic Republic of Congo,2023,102,OWID
