indicator_code,indicator_name,spatial_dim_type,spatial_dim,time_dim_type,time_dim,time_dim_value,dim1_type,dim1,dim2_type,dim2,dim3_type,dim3,data_source,value,numeric_value,low,high,comments,date_added,scraped_at
MALARIA_PF_INDIG,,COUNTRY,SLE,YEAR,2024,,,,,,,,,1 911 083,1911083.0,,,,,2026-06-15T20:42:43.223949
MALARIA_PF_INDIG,,REGION,EMR,YEAR,2021,,,,,,,,,1 510 053,1510053.0,,,,,2026-06-15T20:42:43.223952
MALARIA_PF_INDIG,,COUNTRY,BDI,YEAR,2024,,,,,,,,,6 159 110,6159110.0,,,,,2026-06-15T20:42:43.223953
MALARIA_PF_INDIG,,COUNTRY,GUF,YEAR,2022,,,,,,,,,0,0.0,,,,,2026-06-15T20:42:43.223955
MALARIA_PF_INDIG,,COUNTRY,GNQ,YEAR,2022,,,,,,,,,71 204,71204.0,,,,,2026-06-15T20:42:43.223961
MALARIA_PF_INDIG,,COUNTRY,DJI,YEAR,2023,,,,,,,,,29 728,29728.0,,,,,2026-06-15T20:42:43.223963
MALARIA_PF_INDIG,,COUNTRY,GHA,YEAR,2024,,,,,,,,,5 306 946,5306946.0,,,,,2026-06-15T20:42:43.223964
MALARIA_PF_INDIG,,COUNTRY,PNG,YEAR,2022,,,,,,,,,254 496,254496.0,,,,,2026-06-15T20:42:43.223967
MALARIA_PF_INDIG,,COUNTRY,AZE,YEAR,2024,,,,,,,,,0,0.0,,,,,2026-06-15T20:42:43.223969
MALARIA_PF_INDIG,,COUNTRY,COD,YEAR,2023,,,,,,,,,27 657 762,27657762.0,,,,,2026-06-15T20:42:43.223972
MALARIA_PF_INDIG,,COUNTRY,BLZ,YEAR,2021,,,,,,,,,0,0.0,,,,,2026-06-15T20:42:43.223974
MALARIA_PF_INDIG,,COUNTRY,NIC,YEAR,2024,,,,,,,,,566,566.0,,,,,2026-06-15T20:42:43.223976
MALARIA_PF_INDIG,,COUNTRY,HND,YEAR,2022,,,,,,,,,1134,1134.0,,,,,2026-06-15T20:42:43.223977
MALARIA_PF_INDIG,,COUNTRY,BWA,YEAR,2022,,,,,,,,,397,397.0,,,,,2026-06-15T20:42:43.223979
MALARIA_PF_INDIG,,COUNTRY,SOM,YEAR,2021,,,,,,,,,10 919,10919.0,,,,,2026-06-15T20:42:43.223980
